Market,Cat_ID,Cat_Name,Parent_ID,Level,Full_Path
쿠팡,C001030,청소집게,C001022,4,생활용품 > 생활잡화 > 정리소품 > 청소집게
쿠팡,C001031,휴대용 가방걸이,C001022,4,생활용품 > 생활잡화 > 정리소품 > 휴대용 가방걸이
쿠팡,C001033,칠판/게시판,C000944,3,생활용품 > 생활잡화 > 칠판/게시판
쿠팡,C001032,게시판/메모보드,C001033,4,생활용품 > 생활잡화 > 칠판/게시판 > 게시판/메모보드
쿠팡,C001034,칠판/블랙보드,C001033,4,생활용품 > 생활잡화 > 칠판/게시판 > 칠판/블랙보드
쿠팡,C001035,화이트보드,C001033,4,생활용품 > 생활잡화 > 칠판/게시판 > 화이트보드
쿠팡,C001037,핫팩/아이스팩,C000944,3,생활용품 > 생활잡화 > 핫팩/아이스팩
쿠팡,C001036,손난로/핫팩,C001037,4,생활용품 > 생활잡화 > 핫팩/아이스팩 > 손난로/핫팩
쿠팡,C001038,아이스팩,C001037,4,생활용품 > 생활잡화 > 핫팩/아이스팩 > 아이스팩
쿠팡,C001039,얼음주머니,C001037,4,생활용품 > 생활잡화 > 핫팩/아이스팩 > 얼음주머니
쿠팡,C001042,성인용품(19),C000557,2,생활용품 > 성인용품(19)
쿠팡,C001041,SM용품(19),C001042,3,생활용품 > 성인용품(19) > SM용품(19)
쿠팡,C001040,기타 SM용품(19),C001041,4,생활용품 > 성인용품(19) > SM용품(19) > 기타 SM용품(19)
쿠팡,C001043,바디 구속용품(19),C001041,4,생활용품 > 성인용품(19) > SM용품(19) > 바디 구속용품(19)
쿠팡,C001044,채찍/처벌 용품(19),C001041,4,생활용품 > 성인용품(19) > SM용품(19) > 채찍/처벌 용품(19)
쿠팡,C001045,페이스 구속용품(19),C001041,4,생활용품 > 성인용품(19) > SM용품(19) > 페이스 구속용품(19)
쿠팡,C001046,러브젤,C001042,3,생활용품 > 성인용품(19) > 러브젤
쿠팡,C001047,마사지젤/오일,C001042,3,생활용품 > 성인용품(19) > 마사지젤/오일
쿠팡,C001049,성인 가구(19),C001042,3,생활용품 > 성인용품(19) > 성인 가구(19)
쿠팡,C001048,성인 가구/침구(19),C001049,4,생활용품 > 성인용품(19) > 성인 가구(19) > 성인 가구/침구(19)
쿠팡,C001050,성인 그네(19),C001049,4,생활용품 > 성인용품(19) > 성인 가구(19) > 성인 그네(19)
쿠팡,C001052,성인 완구/게임(19),C001042,3,생활용품 > 성인용품(19) > 성인 완구/게임(19)
쿠팡,C001051,성인게임(19),C001052,4,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인게임(19)
쿠팡,C001054,성인완구(19),C001052,4,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19)
쿠팡,C001053,남성 성기 링(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 남성 성기 링(19)
쿠팡,C001055,남성 자위기구/인형(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 남성 자위기구/인형(19)
쿠팡,C001056,딜도(19),C001054,5,생활용품 > 성인용품(19) > 성인 완구/게임(19) > 성인완구(19) > 딜도(19)
